Idx,elevation,azimuth,X,Y,x_light,y_light
217,61.2953,90,-3.83395e-08,0.877107,-0.0471384,-0.173588
218,61.2953,90,-3.83395e-08,0.877107,-0.0461636,-0.173543
219,61.2953,90,-3.83395e-08,0.877107,-0.0462207,-0.174265
220,61.2953,90,-3.83395e-08,0.877107,-0.047399,-0.172863
221,62.5119,90,-3.87767e-08,0.887107,-0.0485458,-0.173693
222,62.5119,90,-3.87767e-08,0.887107,-0.047392,-0.173795
223,62.5119,90,-3.87767e-08,0.887107,-0.0468813,-0.174639
224,62.5119,90,-3.87767e-08,0.887107,-0.0487751,-0.175077
225,62.5119,90,-3.87767e-08,0.887107,-0.0459395,-0.174115
226,63.7803,90,-3.92138e-08,0.897107,-0.0458496,-0.174476
227,63.7803,90,-3.92138e-08,0.897107,-0.0482216,-0.174061
228,63.7803,90,-3.92138e-08,0.897107,-0.0475383,-0.175541
229,63.7803,90,-3.92138e-08,0.897107,-0.0480888,-0.174245
230,63.7803,90,-3.92138e-08,0.897107,-0.0461871,-0.17403
231,65.1085,90,-3.96509e-08,0.907107,-0.0472293,-0.175411
232,65.1085,90,-3.96509e-08,0.907107,-0.0459549,-0.175021
233,65.1085,90,-3.96509e-08,0.907107,-0.0466105,-0.175076
234,65.1085,90,-3.96509e-08,0.907107,-0.0474711,-0.175042
235,65.1085,90,-3.96509e-08,0.907107,-0.0470708,-0.174607
236,66.5067,90,-4.0088e-08,0.917107,-0.0481181,-0.175356
237,66.5067,90,-4.0088e-08,0.917107,-0.0460185,-0.173756
238,66.5067,90,-4.0088e-08,0.917107,-0.0466009,-0.173837
239,66.5067,90,-4.0088e-08,0.917107,-0.0463888,-0.174165
240,66.5067,90,-4.0088e-08,0.917107,-0.0470701,-0.174221
241,67.9882,90,-4.05251e-08,0.927107,-0.0466821,-0.172681
242,67.9882,90,-4.05251e-08,0.927107,-0.0464654,-0.174884
243,67.9882,90,-4.05251e-08,0.927107,-0.0471462,-0.173311
244,67.9882,90,-4.05251e-08,0.927107,-0.0478809,-0.173888
245,67.9882,90,-4.05251e-08,0.927107,-0.0459089,-0.174492
246,69.5712,90,-4.09622e-08,0.937107,-0.0457448,-0.172335
247,69.5712,90,-4.09622e-08,0.937107,-0.0460916,-0.169937
248,69.5712,90,-4.09622e-08,0.937107,-0.0467493,-0.171068
249,69.5712,90,-4.09622e-08,0.937107,-0.0468045,-0.17172
250,69.5712,90,-4.09622e-08,0.937107,-0.0456879,-0.170772
251,71.2815,90,-4.13993e-08,0.947107,-0.0471791,-0.168447
252,71.2815,90,-4.13993e-08,0.947107,-0.0460683,-0.16799
253,71.2815,90,-4.13993e-08,0.947107,-0.045515,-0.168469
254,71.2815,90,-4.13993e-08,0.947107,-0.0452837,-0.167659
255,71.2815,90,-4.13993e-08,0.947107,-0.0460295,-0.16916
256,73.1578,90,-4.18365e-08,0.957107,-0.0477996,-0.162231
257,73.1578,90,-4.18365e-08,0.957107,-0.0442617,-0.161901
258,73.1578,90,-4.18365e-08,0.957107,-0.0447937,-0.162148
259,73.1578,90,-4.18365e-08,0.957107,-0.0446861,-0.16184
