id,X,Y,x_light,y_light,Extrapolated
161,0.9244365692138672,-0.3312492370605469,-0.3072,0.1024,True
162,0.87095,-0.34591,-0.2816,0.1024,False
163,0.81795,-0.36325,-0.256,0.1024,False
164,0.75546,-0.38335,-0.2304,0.1024,False
165,0.68377,-0.39698,-0.2048,0.1024,False
166,0.60574,-0.4102,-0.1792,0.1024,False
167,0.52518,-0.42568,-0.1536,0.1024,False
168,0.4364,-0.43284,-0.128,0.1024,False
169,0.34102,-0.44268,-0.1024,0.1024,False
170,0.23979,-0.45073,-0.0768,0.1024,False
171,0.13623,-0.45588,-0.0512,0.1024,False
172,0.03464,-0.45643,-0.0256,0.1024,False
173,-0.06592,-0.45631,0.0,0.1024,False
174,-0.1655,-0.45298,0.0256,0.1024,False
175,-0.2673,-0.44728,0.0512,0.1024,False
176,-0.36785,-0.43885,0.0768,0.1024,False
177,-0.4674,-0.42536,0.1024,0.1024,False
178,-0.55754,-0.41422,0.128,0.1024,False
179,-0.64205,-0.39853,0.1536,0.1024,False
180,-0.7217,-0.3836,0.1792,0.1024,False
181,-0.78754,-0.37441,0.2048,0.1024,False
182,-0.84857,-0.35427,0.2304,0.1024,False
183,-0.9082446098327637,-0.3397122472524643,0.256,0.1024,True
184,0.9374633561133018,-0.2499990845163433,-0.3072,0.0768,True
185,0.88493,-0.26487,-0.2816,0.0768,False
186,0.83217,-0.28171,-0.256,0.0768,False
187,0.76631,-0.2952,-0.2304,0.0768,False
188,0.69756,-0.3088,-0.2048,0.0768,False
189,0.62115,-0.3211,-0.1792,0.0768,False
190,0.53609,-0.33058,-0.1536,0.0768,False
191,0.44459,-0.33987,-0.128,0.0768,False
192,0.34977,-0.34864,-0.1024,0.0768,False
193,0.24874,-0.35398,-0.0768,0.0768,False
194,0.14217,-0.35658,-0.0512,0.0768,False
195,0.03841,-0.35666,-0.0256,0.0768,False
196,-0.06395,-0.35601,0.0,0.0768,False
197,-0.17063,-0.35548,0.0256,0.0768,False
198,-0.27261,-0.3489,0.0512,0.0768,False
199,-0.37791,-0.34208,0.0768,0.0768,False
200,-0.47173,-0.33024,0.1024,0.0768,False
201,-0.56782,-0.32225,0.128,0.0768,False
202,-0.65112,-0.30808,0.1536,0.0768,False
203,-0.7299,-0.29502,0.1792,0.0768,False
204,-0.79665,-0.28483,0.2048,0.0768,False
