id,X,Y,azimuth,elevation,x_light,y_light,new_indexes
378,0.07263,0.47198,81.2517,28.5246,0.0,-0.128,222
379,-0.0289,0.47469,93.484,28.3964,0.0256,-0.128,223
380,-0.12308,0.47336,104.5749,29.2814,0.0512,-0.128,224
381,-0.22696,0.46788,115.8772,31.3337,0.0768,-0.128,225
364,-0.75274,0.33609,155.9398,55.5239,0.2304,-0.1024,226
334,-0.13387,0.27394,116.044,17.7522,0.0512,-0.0768,227
300,0.88302,0.13212,8.5096,63.2335,-0.2304,-0.0512,228
296,-0.84057,0.05898,175.9863,57.4196,0.256,-0.0256,229
266,-0.2409,-0.04838,191.3557,14.2238,0.0768,0.0,230
257,0.64995,-0.04416,356.1131,40.6509,-0.1536,0.0,231
258,0.56784,-0.04441,355.5281,34.7205,-0.128,0.0,232
259,0.47578,-0.04656,354.4108,28.5583,-0.1024,0.0,233
260,0.38424,-0.04742,352.9646,22.7776,-0.0768,0.0,234
261,0.27764,-0.04918,349.9551,16.3773,-0.0512,0.0,235
246,-0.52873,-0.1374,194.5671,33.113,0.1536,0.0256,236
243,-0.24268,-0.15028,211.7679,16.5853,0.0768,0.0256,237
446,0.16245,0.72695,77.4032,48.1488,-0.0256,-0.2048,238
401,0.073,0.56328,82.6157,34.6102,0.0,-0.1536,239
396,0.53324,0.52949,44.7978,48.7177,-0.128,-0.1536,240
395,0.61762,0.51334,39.7319,53.4273,-0.1536,-0.1536,241
394,0.697,0.50402,35.8717,59.3326,-0.1792,-0.1536,242
393,0.77139,0.49143,32.5,66.1531,-0.2048,-0.1536,243
388,-0.80417,0.41557,152.6715,64.8503,0.256,-0.128,244
382,-0.3235,0.46463,124.8477,34.4826,0.1024,-0.128,245
363,-0.67555,0.34481,152.9596,49.3286,0.2048,-0.1024,246
335,-0.23632,0.27284,130.8974,21.1589,0.0768,-0.0768,247
333,-0.03221,0.27257,96.7395,15.9302,0.0256,-0.0768,248
301,0.80726,0.13599,9.5622,54.9483,-0.2048,-0.0512,249
312,-0.24039,0.16612,145.3538,16.99,0.0768,-0.0512,250
295,-0.77056,0.05785,175.7066,50.5995,0.2304,-0.0256,251
267,-0.34662,-0.04491,187.3824,20.4578,0.1024,0.0,252
265,-0.13402,-0.04733,199.451,8.1712,0.0512,0.0,253
264,-0.03208,-0.0464,235.3408,3.2338,0.0256,0.0,254
263,0.06631,-0.04796,324.1229,4.6941,0.0,0.0,255
262,0.17069,-0.04691,344.633,10.1962,-0.0256,0.0,256
245,-0.43869,-0.14142,197.8677,27.4466,0.128,0.0256,257
244,-0.34163,-0.14683,203.2577,21.8296,0.1024,0.0256,258
445,0.25132,0.72093,70.7812,49.772,-0.0512,-0.2048,259
402,-0.02372,0.56724,92.3945,34.5925,0.0256,-0.1536,260
403,-0.11817,0.56653,101.7821,35.3608,0.0512,-0.1536,261
404,-0.21354,0.56254,110.7867,36.9922,0.0768,-0.1536,262
386,-0.66782,0.43524,146.9064,52.857,0.2048,-0.128,263
387,-0.74416,0.42303,150.3832,58.8699,0.2304,-0.128,264
383,-0.41404,0.46036,131.9677,38.2549,0.128,-0.128,265
362,-0.5999,0.34415,150.158,43.7574,0.1792,-0.1024,266
351,0.46322,0.35507,37.4711,35.7077,-0.1024,-0.1024,267
336,-0.33666,0.26641,141.6443,25.4243,0.1024,-0.0768,268
332,0.07139,0.27212,75.2999,16.3395,0.0,-0.0768,269
302,0.73027,0.13933,10.8018,48.0255,-0.1792,-0.0512,270
311,-0.13631,0.16352,129.8145,12.2914,0.0512,-0.0512,271
313,-0.3411,0.16255,154.52,22.2007,0.1024,-0.0512,272
294,-0.70073,0.05656,175.3853,44.6689,0.2048,-0.0256,273
268,-0.44187,-0.04089,185.287,26.3439,0.128,0.0,274
270,-0.62021,-0.03784,183.4914,38.4158,0.1792,0.0,275
271,-0.69994,-0.03133,182.5629,44.4784,0.2048,0.0,276
272,-0.76967,-0.02937,182.1853,50.3746,0.2304,0.0,277
273,-0.84562,-0.02215,181.5005,57.7696,0.256,0.0,278
443,0.43032,0.70329,58.5389,55.5373,-0.1024,-0.2048,279
444,0.34356,0.7089,64.1434,51.9771,-0.0768,-0.2048,280
406,-0.40411,0.55136,126.2389,43.1252,0.128,-0.1536,281
